LOGO,LOGOW,Initials,HLTV Name,Name,PLAYER 1,PLAYER 2,PLAYER 3,PLAYER 4,PLAYER 5,PLAYER 6,Wiki,HLTV
[🇧🇷](#lang-br,FALSE,HUMMER,HUMMER,HUMMER Esports,🇧🇷 ckzao,🇧🇷 danoco,🇧🇷 delboNi,🇧🇷 SHOOWTiME,🇧🇷 zqkS ♛,🇧🇷 KAOS,,https://www.hltv.org/team/11723/hummer
III,,,,,,,,,,,,
[🇲🇳](#ihc,FALSE,IHC,IHC,IHC Esports,🇲🇳 Annihilation,🇲🇳 bLitz ♛,🇲🇳 kabal,🇲🇳 sk0R,🇲🇳 Techno,🇲🇳 Bart4k,https://liquipedia.net/counterstrike/IHC_Esports,https://www.hltv.org/team/11585/ihc
[🇵🇱](#illuminar,FALSE,Illuminar,Illuminar,Illuminar Gaming,🇵🇱 EXUS,🇵🇱 mASKED,🇵🇱 morelz,🇵🇱 reatz,🇵🇱 TOAO,,https://liquipedia.net/counterstrike/Illuminar_Gaming,https://www.hltv.org/team/8813/illuminar
[🇧🇷](#imperial,FALSE,Imperial,Imperial,Imperial Esports,🇧🇷 boltz,🇧🇷 FalleN ♛,🇧🇷 fer,🇧🇷 fnx,🇧🇷 VINI,🇧🇷 peacemaker,https://liquipedia.net/counterstrike/Imperial_Esports,https://www.hltv.org/team/9455/imperial
[🌎](#infinity,FALSE,Infinity,Infinity,Infinity,🇲🇽 k1Nky,🇲🇽 Marro,🇵🇪 Pacman,🇨🇴 spamzzy1 ♛,🇵🇪 tor1towOw,🇵🇪 alone,https://liquipedia.net/counterstrike/Infinity_(Latin_American_team%29,https://www.hltv.org/team/9963/infinity
[🇬🇧](#lang-en,FALSE,ITB,Into the Breach,Into The Breach,🇬🇧 Adam9130 ♛,🇬🇧 CYPHER,🇬🇧 dobbo,🇬🇧 Tadpole,🇬🇧 smooya,🇬🇧 Thomas,https://liquipedia.net/counterstrike/Into_The_Breach,https://www.hltv.org/team/11164/into-the-breach
[🇨🇳](#invictus,TRUE,Invictus,Invictus,Invictus Gaming,🇨🇳 0i,🇨🇳 bottle,🇨🇳 DeStRoYeR ♛,🇨🇳 flying,🇨🇳 rage,🇨🇳 Ayeon,https://liquipedia.net/counterstrike/Invictus_Gaming,https://www.hltv.org/team/7966/invictus
[🇦🇷](#isurus,FALSE,Isurus,Isurus,Isurus,🇦🇷 deco,🇦🇷 luchov,🇦🇷 meyern,🇦🇷 Noktse ♛,🇦🇷 reversive,🇦🇷 pino,https://liquipedia.net/counterstrike/Isurus,https://www.hltv.org/team/7653/isurus
JJJ,,,,,,,,,,,,
KKK,,,,,,,,,,,,
[🇷🇺](#k23,TRUE,K23,K23,K23,🇷🇺 clax,🇷🇺 FinigaN ♛,🇷🇺 Raijin,🇷🇺 X5G7V,🇷🇺 xsepower,🇰🇿 Solaar,https://liquipedia.net/counterstrike/K23,https://www.hltv.org/team/7244/k23
LLL,,,,,,,,,,,,
[🇫🇷](#ldlcnew,FALSE,LDLC,LDLC,Team LDLC,🇫🇷 AMANEK,🇫🇷 Brooxsy,🇫🇷 Diviiii,🇫🇷 Graviti ♛,🇫🇷 Snobling,🇫🇷 Neityu,https://liquipedia.net/counterstrike/Team_LDLC,https://www.hltv.org/team/4674/ldlc
[🇧🇷](#legacy,FALSE,Legacy,Legacy,Legacy,🇧🇷 latto,🇧🇷 dumau,🇧🇷 n1ssim,🇧🇷 arT ♛,🇦🇷 try 𖦏,🇧🇷 adr,https://liquipedia.net/counterstrike/Legacy,https://www.hltv.org/team/12468/legacy
